epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.34593,0.93856,3.93929,1.10875,0.0043,0.94945,0.29663,0.23882,0.8271,3.29275,1.07629,9.09e-05,9.09e-05,9.09e-05
2,14.8822,0.81468,3.2648,1.08199,0.0049,1,0.47873,0.37742,0.83322,3.03658,1.08276,0.000189,0.000189,0.000189
3,20.1543,0.78426,2.80324,1.0092,0.71132,0.19069,0.54881,0.45005,0.86286,2.5508,1.10701,0.000285121,0.000285121,0.000285121
4,25.2719,0.79964,2.48723,1.01612,0.73185,0.4711,0.62203,0.5193,0.85929,2.35642,1.03522,0.000379261,0.000379261,0.000379261
5,30.6492,0.71637,2.2502,0.96954,0.65285,0.35604,0.67021,0.5582,0.89736,1.99688,1.04191,0.000471422,0.000471422,0.000471422
6,35.6778,0.68986,2.14959,0.94458,0.64928,0.5141,0.65406,0.52966,0.87804,2.02656,1.07708,0.000561603,0.000561603,0.000561603
7,41.2757,0.71207,2.05067,0.96814,0.47361,0.37286,0.60451,0.47034,0.90352,2.11726,1.1139,0.000649804,0.000649804,0.000649804
8,46.1764,0.70216,1.91051,0.96428,0.50064,0.8051,0.70454,0.5523,1.0136,1.65698,1.19071,0.000736025,0.000736025,0.000736025
9,50.9877,0.68111,1.86573,0.96365,0.48559,0.80953,0.7109,0.56106,0.99664,1.26277,1.19051,0.000820267,0.000820267,0.000820267
10,55.7969,0.72994,1.79745,0.98739,0.55231,0.85527,0.69338,0.56246,0.91734,1.33845,1.13955,0.000828008,0.000828008,0.000828008
11,60.6311,0.72075,1.86107,0.949,0.5157,0.89574,0.74079,0.60635,0.88488,1.70628,1.12409,0.000819009,0.000819009,0.000819009
12,65.4564,0.69472,1.6982,0.99281,0.59125,0.74286,0.73638,0.61415,0.9801,1.24086,1.23942,0.00081001,0.00081001,0.00081001
13,70.3159,0.65113,1.67899,0.92523,0.73411,0.79659,0.77555,0.64498,0.94257,1.15177,1.21046,0.000801011,0.000801011,0.000801011
14,75.2899,0.63039,1.62549,0.94917,0.61344,0.90968,0.82169,0.6897,0.93825,1.09433,1.18531,0.000792012,0.000792012,0.000792012
15,80.2986,0.6933,1.67492,0.95109,0.7761,0.73777,0.81811,0.69224,0.90772,1.1836,1.1692,0.000783013,0.000783013,0.000783013
16,85.2404,0.64366,1.55285,0.95723,0.66161,0.86945,0.86806,0.71082,0.96754,1.14815,1.21059,0.000774013,0.000774013,0.000774013
17,90.0942,0.57056,1.90769,0.85101,0.81818,0.69553,0.88147,0.72496,0.93449,1.11643,1.1816,0.000765014,0.000765014,0.000765014
18,95.0372,0.72755,1.49328,0.99194,0.81979,0.94628,0.90664,0.73923,0.85102,1.21755,1.10356,0.000756015,0.000756015,0.000756015
19,100.016,0.63214,1.35989,0.91077,0.85633,0.93548,0.91106,0.73735,0.89515,1.003,1.17587,0.000747016,0.000747016,0.000747016
20,105.007,0.63095,1.33832,0.92553,0.77221,0.95899,0.90826,0.71726,0.87294,1.08349,1.14961,0.000738017,0.000738017,0.000738017
21,110.003,0.62999,1.22817,0.92384,0.79992,0.93844,0.91996,0.7504,0.84393,1.04926,1.12482,0.000729018,0.000729018,0.000729018
22,114.989,0.59897,1.21235,0.90199,0.86832,0.94219,0.94342,0.7849,0.93049,0.99148,1.28379,0.000720019,0.000720019,0.000720019
23,120.113,0.61954,1.19885,0.91398,0.88959,0.91631,0.94673,0.77838,0.97882,0.87,1.39584,0.00071102,0.00071102,0.00071102
24,125.753,0.68004,1.22566,0.96325,0.82808,0.93192,0.92006,0.75123,0.97861,0.922,1.41219,0.000702021,0.000702021,0.000702021
25,131.528,0.5792,1.22414,0.9265,0.8579,0.96731,0.92499,0.78029,0.92674,0.88226,1.34409,0.000693022,0.000693022,0.000693022
26,136.465,0.56263,1.07082,0.92449,0.80654,0.9644,0.9498,0.81283,0.84935,0.79248,1.22095,0.000684022,0.000684022,0.000684022
27,141.602,0.66701,1.21266,0.95335,0.84708,0.96222,0.9682,0.81373,0.85957,0.84114,1.20611,0.000675023,0.000675023,0.000675023
28,147.856,0.56649,1.16824,0.909,0.83835,0.97534,0.95,0.79838,0.92778,0.82723,1.24973,0.000666024,0.000666024,0.000666024
29,153.215,0.5343,1.05927,0.89178,0.82576,0.9603,0.94205,0.80065,0.91754,0.84455,1.25122,0.000657025,0.000657025,0.000657025
30,158.263,0.5336,0.99162,0.89554,0.90513,0.98874,0.94745,0.80842,0.88255,0.72431,1.1839,0.000648026,0.000648026,0.000648026
31,163.298,0.55238,0.95748,0.8879,0.8258,0.9624,0.96816,0.82585,0.88102,0.74859,1.16632,0.000639027,0.000639027,0.000639027
32,168.278,0.63377,1.01282,0.98252,0.86115,0.99906,0.95989,0.82007,0.85507,0.76336,1.16401,0.000630028,0.000630028,0.000630028
33,173.29,0.54014,1.04572,0.90185,0.91098,0.96953,0.96735,0.81676,0.87775,0.78675,1.18611,0.000621029,0.000621029,0.000621029
34,178.293,0.58647,1.01042,0.90498,0.8989,0.97577,0.937,0.77956,0.91409,0.73666,1.23101,0.00061203,0.00061203,0.00061203
35,183.213,0.63708,1.09092,0.95986,0.8642,0.97558,0.94908,0.78576,0.90722,0.75457,1.19488,0.000603031,0.000603031,0.000603031
36,188.212,0.59703,0.98884,0.89861,0.85959,0.97096,0.9435,0.78695,0.91979,0.74379,1.19547,0.000594031,0.000594031,0.000594031
37,193.105,0.60658,0.93994,0.94267,0.86774,0.94504,0.94836,0.7945,0.92001,0.75238,1.20218,0.000585032,0.000585032,0.000585032
38,198.3,0.55841,0.99725,0.90756,0.8937,0.97336,0.96378,0.81585,0.88066,0.73368,1.16961,0.000576033,0.000576033,0.000576033
