epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.66517,0.93524,3.99713,1.18948,0.00419,0.93187,0.29354,0.2469,0.82222,3.31458,1.10827,9.09e-05,9.09e-05,9.09e-05
2,12.9772,0.76325,3.28619,1.01443,0.00472,1,0.43245,0.3514,0.87277,3.05179,1.2106,0.000189,0.000189,0.000189
3,18.1667,0.85206,2.68901,1.06332,0.97625,0.11975,0.50602,0.40742,0.85556,2.39698,1.26532,0.000285121,0.000285121,0.000285121
4,23.2697,0.82645,2.40696,1.05353,0.58694,0.46688,0.57458,0.46108,0.92987,2.22618,1.21175,0.000379261,0.000379261,0.000379261
5,28.2264,0.91523,2.26361,1.09649,0.55447,0.66839,0.66788,0.50959,0.89398,2.09415,1.14803,0.000471422,0.000471422,0.000471422
6,33.4235,0.92254,2.13086,1.02941,0.59739,0.46735,0.63705,0.50275,0.91847,2.03298,1.14563,0.000561603,0.000561603,0.000561603
7,38.596,0.82026,1.95894,1.00252,0.53795,0.61717,0.61603,0.4974,0.91738,1.93898,1.16666,0.000649804,0.000649804,0.000649804
8,43.9697,0.74879,1.87472,0.95728,0.48936,0.74286,0.65414,0.53026,0.9477,1.55789,1.17372,0.000736025,0.000736025,0.000736025
9,49.0291,0.8128,2.09652,0.99968,0.48538,0.74925,0.67704,0.56391,0.88988,1.49691,1.04056,0.000820267,0.000820267,0.000820267
10,54.3899,0.82419,2.00603,0.98382,0.50096,0.61212,0.62389,0.52066,0.94428,1.55888,1.04705,0.000828008,0.000828008,0.000828008
11,59.7504,0.77989,1.98485,1.0058,0.4972,0.67066,0.69851,0.572,0.9451,1.28264,1.17599,0.000819009,0.000819009,0.000819009
12,64.9086,0.84964,1.79492,1.00392,0.51803,0.89329,0.776,0.63208,0.88594,1.58141,1.20067,0.00081001,0.00081001,0.00081001
13,70.2419,0.7621,1.76645,0.98614,0.51224,0.89331,0.70846,0.5852,0.90934,1.27477,1.23196,0.000801011,0.000801011,0.000801011
14,76.2897,0.79566,1.68129,1.00842,0.46685,0.88978,0.69095,0.5554,0.94524,1.18326,1.22122,0.000792012,0.000792012,0.000792012
15,81.7652,0.75573,1.67659,0.98251,0.59299,0.82876,0.80798,0.68462,0.92643,1.1693,1.27809,0.000783013,0.000783013,0.000783013
16,87.6636,0.84913,1.79757,1.07746,0.56115,0.86758,0.79599,0.66745,0.93428,1.16675,1.30286,0.000774013,0.000774013,0.000774013
17,93.0736,0.70177,1.67922,0.94398,0.65274,0.84904,0.81455,0.70316,0.88326,1.14584,1.2821,0.000765014,0.000765014,0.000765014
18,98.5733,0.81084,1.69713,1.02709,0.72392,0.80611,0.85092,0.70478,0.92527,1.11138,1.29396,0.000756015,0.000756015,0.000756015
19,104.06,0.77245,1.52151,0.99493,0.81221,0.76096,0.86155,0.71338,0.94197,1.05189,1.34541,0.000747016,0.000747016,0.000747016
20,109.522,0.78518,1.47118,0.97042,0.69877,0.86449,0.83778,0.69275,0.94808,1.11347,1.35691,0.000738017,0.000738017,0.000738017
21,114.836,0.69127,1.37243,0.96449,0.79007,0.80102,0.87053,0.71075,0.93127,1.0689,1.30284,0.000729018,0.000729018,0.000729018
22,120.424,0.74751,1.36737,0.97621,0.86209,0.78945,0.89146,0.72998,0.94443,0.95948,1.31845,0.000720019,0.000720019,0.000720019
23,126.156,0.78628,1.41511,1.03878,0.90044,0.83237,0.92189,0.76512,0.93943,0.95463,1.30473,0.00071102,0.00071102,0.00071102
24,131.722,0.74226,1.53709,0.98068,0.79395,0.88815,0.88803,0.73954,0.90656,0.9708,1.20968,0.000702021,0.000702021,0.000702021
25,137.011,0.72055,1.30978,0.96762,0.77889,0.90012,0.88228,0.72094,0.94595,0.97221,1.18773,0.000693022,0.000693022,0.000693022
26,142.168,0.66497,1.32455,0.95374,0.83799,0.87989,0.94463,0.79764,0.91601,0.93423,1.16661,0.000684022,0.000684022,0.000684022
27,147.483,0.61871,1.63368,0.8744,0.80931,0.87686,0.94662,0.79005,0.91342,0.87286,1.19619,0.000675023,0.000675023,0.000675023
28,152.834,0.70893,1.21755,0.95527,0.79858,0.87013,0.90848,0.77011,0.86803,1.00718,1.15384,0.000666024,0.000666024,0.000666024
29,158.129,0.67211,1.13732,0.93792,0.77665,0.95031,0.90376,0.74253,0.90284,0.97039,1.17048,0.000657025,0.000657025,0.000657025
30,163.461,0.75337,1.3372,1.00552,0.80036,0.94208,0.93306,0.76119,0.94641,0.9919,1.18384,0.000648026,0.000648026,0.000648026
31,168.599,0.65895,1.23718,0.94784,0.81076,0.96787,0.94269,0.81086,0.884,0.90247,1.16589,0.000639027,0.000639027,0.000639027
32,173.933,0.66337,1.15785,0.95534,0.85189,0.79844,0.90296,0.76255,0.85925,0.98785,1.16663,0.000630028,0.000630028,0.000630028
33,178.887,0.63329,1.55047,0.87431,0.85268,0.82078,0.90874,0.76961,0.86881,0.94639,1.15678,0.000621029,0.000621029,0.000621029
34,184.184,0.65545,1.12786,0.95325,0.80951,0.92308,0.91589,0.77944,0.9036,0.87627,1.17632,0.00061203,0.00061203,0.00061203
35,189.365,0.59534,1.14949,0.92412,0.88116,0.90679,0.94939,0.80326,0.91379,0.86502,1.23603,0.000603031,0.000603031,0.000603031
36,194.522,0.64874,1.07132,0.9231,0.84365,0.91805,0.94786,0.82228,0.86157,0.82479,1.22972,0.000594031,0.000594031,0.000594031
37,199.61,0.66349,1.08063,0.94622,0.88564,0.96181,0.9267,0.77245,0.8903,0.82605,1.23104,0.000585032,0.000585032,0.000585032
38,205.132,0.62769,1.07147,0.94422,0.8469,0.96624,0.92193,0.76761,0.90318,0.81787,1.18301,0.000576033,0.000576033,0.000576033
39,211.011,0.64158,0.97787,0.93708,0.87504,0.89933,0.92013,0.77639,0.90887,0.78153,1.18507,0.000567034,0.000567034,0.000567034
40,216.32,0.6259,1.01101,0.93867,0.89472,0.95427,0.93044,0.78624,0.94702,0.81589,1.1873,0.000558035,0.000558035,0.000558035
41,221.375,0.61871,1.01903,0.91646,0.8768,0.93462,0.92899,0.77452,0.91038,0.81753,1.15674,0.000549036,0.000549036,0.000549036
42,226.588,0.6017,0.94607,0.92608,0.87041,0.92464,0.93134,0.79026,0.88014,0.85902,1.13533,0.000540037,0.000540037,0.000540037
43,231.693,0.61467,0.98413,0.94266,0.84371,0.87547,0.91319,0.77251,0.91578,0.91766,1.15543,0.000531038,0.000531038,0.000531038
44,236.728,0.51573,1.25052,0.83093,0.86448,0.89006,0.90979,0.78254,0.92569,0.85538,1.17227,0.000522039,0.000522039,0.000522039
45,241.861,0.55184,0.97034,0.89387,0.88665,0.94172,0.91561,0.78252,0.89418,0.79886,1.16163,0.00051304,0.00051304,0.00051304
46,246.946,0.62986,0.95678,0.90611,0.91181,0.92411,0.93963,0.79598,0.85363,0.83639,1.11019,0.00050404,0.00050404,0.00050404
47,252.06,0.60556,0.91194,0.95262,0.87128,0.96116,0.94575,0.7885,0.89812,0.7767,1.14595,0.000495041,0.000495041,0.000495041
48,257.268,0.57117,0.92821,0.92784,0.88708,0.97402,0.92676,0.78942,0.86809,0.79773,1.16248,0.000486042,0.000486042,0.000486042
49,262.531,0.67749,0.93817,0.94186,0.89685,0.96938,0.92272,0.77541,0.87794,0.81699,1.18388,0.000477043,0.000477043,0.000477043
50,267.771,0.6104,0.88176,0.93479,0.88616,0.96436,0.93146,0.76121,0.91895,0.829,1.25923,0.000468044,0.000468044,0.000468044
51,272.876,0.55499,0.8459,0.90405,0.88331,0.94909,0.93714,0.79163,0.90464,0.80755,1.26716,0.000459045,0.000459045,0.000459045
52,277.984,0.59844,0.9126,0.93119,0.84521,0.95885,0.92524,0.77039,0.92125,0.79285,1.23904,0.000450046,0.000450046,0.000450046
53,283.093,0.61064,0.90233,0.94132,0.85777,0.94374,0.91943,0.76894,0.93344,0.78731,1.20919,0.000441047,0.000441047,0.000441047
54,288.072,0.59378,0.91364,0.91726,0.86226,0.93786,0.93729,0.7872,0.93271,0.77298,1.18467,0.000432048,0.000432048,0.000432048
55,293.152,0.54112,0.86708,0.91521,0.84766,0.97461,0.96289,0.81807,0.91723,0.73377,1.17499,0.000423049,0.000423049,0.000423049
56,298.335,0.58771,0.84198,0.92251,0.80607,0.99207,0.96847,0.80642,0.93763,0.75143,1.18773,0.000414049,0.000414049,0.000414049
57,303.372,0.54097,0.82202,0.89541,0.84723,0.97662,0.96847,0.80822,0.92341,0.77138,1.18389,0.00040505,0.00040505,0.00040505
58,308.691,0.55161,0.84753,0.91862,0.86461,0.96386,0.96847,0.81865,0.90968,0.76302,1.19091,0.000396051,0.000396051,0.000396051
59,313.855,0.58089,0.78925,0.8946,0.82987,0.99928,0.92588,0.76832,0.92711,0.72579,1.20657,0.000387052,0.000387052,0.000387052
60,318.851,0.55345,0.79311,0.89677,0.83466,0.98326,0.9399,0.80212,0.88553,0.69863,1.19521,0.000378053,0.000378053,0.000378053
61,324.071,0.51614,0.81783,0.89858,0.83358,0.96633,0.9598,0.7986,0.87782,0.72001,1.19941,0.000369054,0.000369054,0.000369054
62,329.122,0.55319,0.78266,0.90487,0.79205,0.99334,0.9598,0.80272,0.87737,0.75301,1.21025,0.000360055,0.000360055,0.000360055
63,334.129,0.49399,0.78258,0.89641,0.85783,0.91825,0.96779,0.82703,0.8608,0.72725,1.20736,0.000351056,0.000351056,0.000351056
64,339.423,0.56278,0.80975,0.91433,0.90325,0.87007,0.96152,0.80967,0.87131,0.71505,1.17979,0.000342057,0.000342057,0.000342057
65,344.609,0.55565,0.77479,0.90107,0.88098,0.90891,0.94962,0.80316,0.86336,0.69917,1.16526,0.000333058,0.000333058,0.000333058
66,349.682,0.54969,0.79606,0.88961,0.85118,0.91542,0.93952,0.81876,0.8439,0.68787,1.14929,0.000324058,0.000324058,0.000324058
67,354.85,0.4967,1.04457,0.83427,0.76153,0.98115,0.94071,0.79428,0.87474,0.715,1.16693,0.000315059,0.000315059,0.000315059
68,359.982,0.5598,0.79871,0.88985,0.83288,0.96539,0.93714,0.79629,0.85908,0.71244,1.17879,0.00030606,0.00030606,0.00030606
69,365.054,0.50023,0.78552,0.89643,0.85933,0.96411,0.93714,0.80075,0.86158,0.72683,1.18142,0.000297061,0.000297061,0.000297061
70,370.132,0.53763,0.75465,0.92044,0.87723,0.95229,0.94667,0.80385,0.8811,0.73217,1.1808,0.000288062,0.000288062,0.000288062
71,375.257,0.51651,0.78825,0.90528,0.88441,0.96121,0.93622,0.80062,0.83818,0.72845,1.1672,0.000279063,0.000279063,0.000279063
72,380.213,0.53249,0.82809,0.88345,0.90046,0.96068,0.93146,0.80122,0.84485,0.7203,1.15792,0.000270064,0.000270064,0.000270064
73,385.34,0.48239,0.69007,0.86411,0.88237,0.96392,0.9267,0.78731,0.86122,0.70167,1.16306,0.000261065,0.000261065,0.000261065
74,390.6,0.53093,0.8236,0.88978,0.85304,0.98604,0.93714,0.79586,0.85678,0.68398,1.17615,0.000252066,0.000252066,0.000252066
75,395.809,0.56474,0.76753,0.91234,0.82487,0.99866,0.94786,0.80268,0.85716,0.69104,1.1767,0.000243067,0.000243067,0.000243067
76,400.989,0.47126,0.93557,0.81579,0.86478,0.96873,0.9267,0.78826,0.84085,0.73817,1.16297,0.000234068,0.000234068,0.000234068
77,405.957,0.55463,0.85165,0.89316,0.8665,0.96742,0.9267,0.79593,0.82656,0.73369,1.16354,0.000225068,0.000225068,0.000225068
78,411.016,0.5236,0.6845,0.88574,0.86722,0.96775,0.9267,0.79075,0.84462,0.70419,1.17816,0.000216069,0.000216069,0.000216069
79,416.053,0.47703,0.70116,0.88392,0.88251,0.96717,0.93622,0.80142,0.86866,0.66881,1.19863,0.00020707,0.00020707,0.00020707
80,421.182,0.48289,0.69795,0.89379,0.87965,0.97236,0.93622,0.79882,0.86262,0.64289,1.20166,0.000198071,0.000198071,0.000198071
81,425.975,0.48122,0.67977,0.87105,0.87182,0.97469,0.9267,0.79242,0.84862,0.65165,1.19204,0.000189072,0.000189072,0.000189072
82,431.1,0.51214,0.76406,0.91277,0.86092,0.98065,0.9267,0.78998,0.8375,0.66769,1.18393,0.000180073,0.000180073,0.000180073
83,436.077,0.49728,0.68781,0.88623,0.86839,0.97645,0.9267,0.78328,0.84483,0.68127,1.18318,0.000171074,0.000171074,0.000171074
84,441.185,0.47954,0.83901,0.90375,0.86867,0.97917,0.9267,0.78327,0.8593,0.69458,1.18699,0.000162075,0.000162075,0.000162075
85,446.333,0.49427,0.7037,0.85977,0.85654,0.98094,0.93633,0.79681,0.86087,0.69635,1.19461,0.000153076,0.000153076,0.000153076
86,451.388,0.52839,0.72286,0.89461,0.85905,0.97906,0.93551,0.79468,0.86183,0.68938,1.20316,0.000144077,0.000144077,0.000144077
87,456.455,0.47397,0.73784,0.88172,0.8667,0.97963,0.94027,0.80126,0.85052,0.66957,1.19066,0.000135077,0.000135077,0.000135077
88,461.385,0.45546,0.71406,0.88592,0.87321,0.97674,0.93551,0.81068,0.83827,0.65853,1.18544,0.000126078,0.000126078,0.000126078
