epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.07798,0.86004,3.9292,1.02065,0.00456,0.97143,0.30997,0.25666,0.81278,3.254,1.1223,0.00010908,0.00010908,0.00010908
2,14.0986,0.89026,3.15105,1.04758,0.0051,1,0.46494,0.37315,0.86694,2.93735,1.20531,0.000225,0.000225,0.000225
3,19.9405,0.72168,3.93725,0.91515,0.96968,0.10728,0.60501,0.49234,0.85096,2.4873,1.13994,0.000338581,0.000338581,0.000338581
4,25.8505,0.82148,2.30374,0.99,0.93877,0.05956,0.60912,0.47067,0.84638,2.41767,1.10848,0.000449821,0.000449821,0.000449821
5,31.3815,0.76722,2.17639,0.97796,0.82518,0.37507,0.7051,0.56516,0.9333,2.02891,1.16889,0.000558722,0.000558722,0.000558722
6,37.8089,0.79024,2.1041,0.96384,0.64213,0.56647,0.73233,0.59274,0.86084,1.89107,1.02696,0.000665283,0.000665283,0.000665283
7,43.976,0.75673,1.96341,0.95471,0.47449,0.62868,0.67024,0.55316,0.82317,1.69964,1.06121,0.000769505,0.000769505,0.000769505
8,49.7061,0.73947,1.85904,0.95844,0.59531,0.62656,0.71106,0.5883,0.89149,1.37612,1.11923,0.000846006,0.000846006,0.000846006
9,55.5142,0.83607,2.07884,0.97189,0.54336,0.78502,0.71372,0.57752,0.89102,1.54636,1.10247,0.000837007,0.000837007,0.000837007
10,61.425,0.78017,1.85123,0.95702,0.50528,0.85714,0.74029,0.60871,0.90437,1.33802,1.14148,0.000828008,0.000828008,0.000828008
11,67.4809,0.71663,1.82338,0.94033,0.48787,0.90914,0.74643,0.61927,0.89386,1.31192,1.22673,0.000819009,0.000819009,0.000819009
12,73.5205,0.73505,1.70829,0.95462,0.61653,0.67697,0.74512,0.61453,0.92857,1.4636,1.26872,0.00081001,0.00081001,0.00081001
13,79.7408,0.77568,1.69938,0.99259,0.80066,0.72344,0.80293,0.66428,0.96295,1.15803,1.26838,0.000801011,0.000801011,0.000801011
14,85.5648,0.70548,1.56961,0.91309,0.6086,0.70004,0.77059,0.63774,0.94637,1.21852,1.25285,0.000792012,0.000792012,0.000792012
15,91.2872,0.69073,1.53667,0.94362,0.67403,0.76772,0.83912,0.71822,0.95353,1.1596,1.26778,0.000783013,0.000783013,0.000783013
16,97.0763,0.75016,1.53355,0.97463,0.81925,0.76378,0.89626,0.73156,0.96869,1.14358,1.24564,0.000774013,0.000774013,0.000774013
17,102.956,0.69705,1.45154,0.94451,0.7724,0.86652,0.90802,0.76141,0.94132,0.99597,1.21892,0.000765014,0.000765014,0.000765014
18,108.787,0.70249,1.36442,0.94066,0.81773,0.89541,0.91707,0.76126,0.97205,1.02821,1.24253,0.000756015,0.000756015,0.000756015
19,114.613,0.64346,1.41548,0.92808,0.82297,0.92187,0.94269,0.78511,0.99809,1.01426,1.25503,0.000747016,0.000747016,0.000747016
20,120.411,0.74513,1.3674,0.96182,0.85055,0.88433,0.94638,0.77571,0.97743,0.89982,1.22614,0.000738017,0.000738017,0.000738017
21,126.244,0.69437,1.3903,0.9987,0.86924,0.91299,0.98495,0.82865,0.88289,0.84608,1.1391,0.000729018,0.000729018,0.000729018
22,131.937,0.63522,1.22255,0.9093,0.86799,0.92852,0.96716,0.81859,0.90569,1.07377,1.13781,0.000720019,0.000720019,0.000720019
23,137.925,0.6831,1.17623,0.91416,0.90905,0.83928,0.92313,0.78454,0.89977,0.94763,1.17728,0.00071102,0.00071102,0.00071102
24,144.13,0.6438,1.31202,0.9293,0.82908,0.9405,0.94367,0.80781,0.92187,0.79051,1.23186,0.000702021,0.000702021,0.000702021
25,149.921,0.64491,1.17156,0.89568,0.79622,0.99626,0.96875,0.81647,0.88831,0.78265,1.17158,0.000693022,0.000693022,0.000693022
26,155.863,0.64731,1.14102,0.93439,0.88269,0.93818,0.955,0.80852,0.92861,0.90222,1.16728,0.000684022,0.000684022,0.000684022
27,162.049,0.64033,1.0841,0.89545,0.87628,0.93039,0.93608,0.78803,0.97282,0.92759,1.21104,0.000675023,0.000675023,0.000675023
28,167.87,0.62236,1.12906,0.91209,0.83194,0.93257,0.95418,0.78776,0.94945,0.8329,1.19246,0.000666024,0.000666024,0.000666024
29,173.564,0.63181,1.08814,0.91133,0.79431,0.94834,0.93054,0.78577,0.92816,0.79234,1.16117,0.000657025,0.000657025,0.000657025
30,179.351,0.61701,1.0456,0.89455,0.84864,0.90295,0.92115,0.76929,0.94151,0.85548,1.18468,0.000648026,0.000648026,0.000648026
31,185.129,0.61062,1.06197,0.90081,0.86023,0.95312,0.94269,0.77315,0.95077,0.84873,1.17336,0.000639027,0.000639027,0.000639027
32,190.914,0.61804,1.01061,0.89283,0.88582,0.93099,0.98483,0.81393,0.94674,0.79181,1.19744,0.000630028,0.000630028,0.000630028
33,196.654,0.5971,1.01319,0.88832,0.84582,0.96572,0.96129,0.82096,0.93101,0.81699,1.16789,0.000621029,0.000621029,0.000621029
34,202.538,0.59752,0.96479,0.88567,0.90362,0.90842,0.95274,0.81779,0.8999,0.93818,1.14775,0.00061203,0.00061203,0.00061203
35,208.398,0.64427,1.08034,0.88265,0.85022,0.94092,0.94936,0.81188,0.85471,0.83503,1.11028,0.000603031,0.000603031,0.000603031
36,214.123,0.57245,0.94708,0.88533,0.79854,0.98512,0.97167,0.83231,0.82837,0.74537,1.1387,0.000594031,0.000594031,0.000594031
37,219.986,0.60197,0.95753,0.89153,0.88552,0.89897,0.96155,0.82266,0.86744,0.77113,1.1854,0.000585032,0.000585032,0.000585032
38,225.82,0.58319,0.90948,0.90996,0.83663,0.96424,0.91978,0.77715,0.92906,0.80056,1.1688,0.000576033,0.000576033,0.000576033
39,231.743,0.59054,0.90081,0.91034,0.88315,0.9407,0.92654,0.78028,0.94783,0.85381,1.1616,0.000567034,0.000567034,0.000567034
40,237.435,0.55741,0.95145,0.90306,0.89309,0.97957,0.96152,0.8035,0.95438,0.74156,1.1255,0.000558035,0.000558035,0.000558035
41,243.097,0.5852,0.9785,0.87933,0.92748,0.96454,0.98357,0.83837,0.89291,0.64253,1.11159,0.000549036,0.000549036,0.000549036
42,248.855,0.60671,0.86111,0.90508,0.92271,0.96172,0.98357,0.84367,0.9169,0.67565,1.15311,0.000540037,0.000540037,0.000540037
43,254.445,0.54813,0.84041,0.87868,0.9072,0.9592,0.94098,0.80239,0.91059,0.71802,1.17405,0.000531038,0.000531038,0.000531038
44,260.122,0.59432,0.8808,0.89547,0.92367,0.9413,0.93384,0.7904,0.92452,0.74077,1.15159,0.000522039,0.000522039,0.000522039
