epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.72599,0.85672,3.9987,1.05386,0.00432,0.84597,0.1948,0.15562,0.8679,3.39948,0.98079,9.09e-05,9.09e-05,9.09e-05
2,15.2543,0.80986,3.32166,1.00046,0.00475,0.92033,0.28041,0.19999,0.95945,3.26074,1.00093,0.000189,0.000189,0.000189
3,21.68,0.81966,2.68167,1.00025,0.00513,0.93223,0.52395,0.40167,0.94403,2.93713,0.98423,0.000285121,0.000285121,0.000285121
4,27.8999,0.77811,2.2359,0.97184,1,0.07983,0.58834,0.46481,0.91247,2.75308,0.98322,0.000379261,0.000379261,0.000379261
5,34.2253,0.8462,2.1523,1.00403,0.00531,0.94322,0.57456,0.43902,0.98707,2.71431,0.99099,0.000471422,0.000471422,0.000471422
6,40.9197,0.79594,2.13306,0.96989,0.88421,0.19639,0.55292,0.41985,0.98245,2.66814,0.9614,0.000561603,0.000561603,0.000561603
7,47.5229,0.77958,2.05368,0.94433,0.77947,0.26308,0.60047,0.46425,0.9399,2.53189,0.9555,0.000649804,0.000649804,0.000649804
8,54.1039,0.77821,2.07324,0.98568,0.57086,0.45192,0.63863,0.48246,0.96164,2.1786,0.96353,0.000736025,0.000736025,0.000736025
9,60.6003,0.79967,1.91652,0.95351,0.53871,0.57685,0.60868,0.45446,0.99667,2.00527,0.96891,0.000820267,0.000820267,0.000820267
10,67.4556,0.77731,1.82305,0.97195,0.49847,0.58328,0.66121,0.50141,0.96803,2.03407,0.98535,0.000828008,0.000828008,0.000828008
11,74.4162,0.76194,1.84608,0.98731,0.56479,0.65144,0.65201,0.49257,1.00923,1.81261,0.98083,0.000819009,0.000819009,0.000819009
12,81.7999,0.76646,1.77505,0.96381,0.57387,0.74709,0.65952,0.50313,0.98127,1.61083,0.99921,0.00081001,0.00081001,0.00081001
13,89.1067,0.79272,1.71895,0.98666,0.48909,0.68723,0.68816,0.52124,1.01681,1.75621,1.02753,0.000801011,0.000801011,0.000801011
14,96.2333,0.81979,1.71063,0.98158,0.48236,0.59646,0.64946,0.49556,1.0349,1.74102,1.00823,0.000792012,0.000792012,0.000792012
15,103.154,0.78048,1.65562,0.96602,0.63667,0.72483,0.70624,0.53958,1.02697,1.55428,1.0219,0.000783013,0.000783013,0.000783013
16,109.815,0.79614,1.67625,0.98906,0.70193,0.67437,0.76523,0.60684,0.99191,1.41982,1.05825,0.000774013,0.000774013,0.000774013
17,116.494,0.7236,1.56796,0.93903,0.70107,0.71577,0.76636,0.60979,1.02318,1.52827,1.07012,0.000765014,0.000765014,0.000765014
18,123.208,0.76286,1.58713,0.98602,0.74861,0.68105,0.74973,0.5923,1.01493,1.51094,1.05312,0.000756015,0.000756015,0.000756015
19,129.733,0.71648,1.47068,0.93539,0.70745,0.68931,0.70659,0.56796,0.9653,1.68535,1.04564,0.000747016,0.000747016,0.000747016
20,136.383,0.71511,1.34124,0.9309,0.83192,0.62245,0.75172,0.61193,0.93592,1.63463,1.0471,0.000738017,0.000738017,0.000738017
21,142.855,0.67295,1.39608,0.91896,0.74002,0.76114,0.83164,0.66109,0.95605,1.43746,1.0457,0.000729018,0.000729018,0.000729018
22,149.486,0.6915,1.33105,0.93245,0.73405,0.66195,0.76298,0.62045,1.00578,1.32118,1.09377,0.000720019,0.000720019,0.000720019
